Survived,Pclass,Age,Sex
0,1,38,male
0,1,29,male
1,1,41,female
1,3,45,male
0,1,45,male
1,1,24,female
0,2,28,male
0,2,36,male
1,2,24,female
1,2,40,female
0,3,42,male
0,3,23,male
0,3,15,male
0,3,25,male
0,3,28,male
1,1,22,female
0,3,40,male
0,2,29,male
0,3,45,female
0,3,35,male
0,3,30,male
1,1,24,female
1,1,25,male
0,3,18,male
0,3,19,male
0,1,22,male
0,3,3,female
1,3,22,female
0,1,27,male
0,3,19,male
1,3,1,female
0,3,32,male
1,1,35,female
0,3,1,male
1,2,36,female
1,2,17,female
1,1,36,male
1,3,21,male
1,1,23,female
1,3,24,female
0,2,46,male
0,2,23,male
1,2,28,female
0,3,26,male
0,3,21,female
0,3,28,male
0,2,34,male
0,3,51,male
0,3,21,male
1,1,33,female
1,2,18,female
0,2,30,male
0,3,10,female
0,3,28,female
1,2,28,female
1,3,32,male
1,1,28,male
0,1,50,male
1,1,14,female
0,3,21,female
1,2,24,female
0,1,64,male
0,3,20,male
0,3,25,male
1,2,28,female
1,1,4,male
1,2,13,female
1,1,34,male
1,3,5,female
1,1,52,male
0,1,65,male
1,2,50,female
0,3,34,male
0,1,47,male
0,2,48,male
0,3,38,male
0,1,56,male
1,3,0.75,female
1,2,33,female
0,3,22,female
0,3,22,male
1,3,2,female
0,3,50,male
1,3,63,female
1,1,25,male
1,1,35,female
0,1,58,male
0,3,21,male
0,1,55,male
0,1,71,male
0,3,21,male
1,1,54,female
0,3,21,female
0,3,37,female
1,1,16,female
0,1,18,male
1,2,33,female
0,3,28,male
1,3,26,male
1,3,29,male
1,1,36,male
1,1,54,female
0,1,47,male
0,3,32,male
1,1,44,female
0,3,40.5,male
1,2,50,female
0,3,39,male
0,2,23,male
0,3,17,male
0,3,30,female
1,2,7,female
0,1,45,male
1,1,30,female
1,1,22,female
1,1,36,female
0,3,9,female
0,3,11,female
1,2,32,male
0,1,50,male
0,1,64,male
1,2,19,female
0,3,33,male
1,2,8,male
1,1,17,male
1,3,22,male
1,3,22,female
0,1,62,male
1,1,48,female
1,3,36,female
0,3,40,male
0,2,28,male
0,3,24,male
0,3,29,female
1,3,32,male
1,2,62,male
1,1,53,female
0,3,16,male
0,3,19,male
1,1,39,female
1,2,25,female
1,1,39,female
0,2,54,male
0,1,36,male
0,2,47,male
1,1,60,male
0,3,22,male
0,3,35,male
0,2,37,male
0,3,36,male
0,3,49,male
1,2,24,female
0,3,30,male
1,1,27,male
1,2,22,female
1,1,40,female
0,3,39,female
0,3,35,male
0,3,34,male
0,2,26,male
0,3,27,male
1,1,42,male
1,3,20,male
0,1,61,male
0,2,57,male
1,1,21,female
0,3,26,male
1,1,80,male
1,1,32,male
1,2,28,female
0,3,32,male
0,2,31,male
0,3,20,male
1,1,24,female
0,3,2,female
1,3,0.75,female
1,1,48,male
1,2,18,female
0,3,21,male
0,3,18,female
0,3,32,female
0,2,23,male
0,1,58,male
1,1,50,male
0,3,40,male
0,1,47,male
1,3,20,male
0,2,32,male
0,2,25,male
1,2,40,female
0,1,31,male
0,2,70,male
1,2,31,male
0,3,18,male
0,3,24.5,male
1,3,18,female
0,3,43,female
1,1,36,male
0,3,14,male
0,2,60,male
0,3,25,male
0,1,60,male
0,1,49,male
1,1,18,female
1,1,35,male
0,3,18,female
0,3,26,male
1,2,45,female
1,1,42,male
1,1,22,female
1,1,24,female
0,3,29,male
0,2,52,male
0,3,19,male
1,1,38,female
1,2,6,female
0,3,17,male
1,1,27,male
0,3,20,male
1,2,30,female
0,2,25,male
0,3,25,female
1,1,29,female
0,2,23,male
0,2,23,male
0,3,28.5,male
1,1,35,male
0,3,24,male
0,3,16,male
0,3,31,male
1,2,4,female
1,3,6,male
0,3,33,male
0,3,23,male
1,2,48,female
0,3,28,male
0,2,18,male
0,3,34,male
1,1,33,female
1,3,20,male
1,1,36,female
1,1,51,female
0,3,30.5,female
0,3,24,male
0,2,57,female
0,3,18,male
1,1,43,female
1,3,13,female
1,1,17,female
0,1,29,male
1,3,18,female
0,3,8,male
0,2,16,male
0,3,25,male
1,3,31,female
0,2,34,male
1,2,31,female
1,1,11,male
0,3,31,male
0,1,39,male
0,2,39,male
1,1,33,female
0,3,26,male
0,3,39,male
0,3,6,female
0,3,30.5,male
0,3,43,male
0,3,10,male
1,1,52,female
1,3,27,male
0,1,38,male
1,3,27,female
1,2,1,male
1,3,15,female
1,2,0.83,male
0,3,23,male
0,3,18,male
0,3,21,male
1,3,32,male
0,3,20,male
0,2,16,male
1,1,30,female
0,3,34.5,male
0,3,17,male
0,3,42,male
0,3,35,male
0,3,4,male
0,3,74,male
0,3,9,female
1,1,16,female
0,2,44,female
1,3,18,female
1,1,45,female
1,1,51,male
1,3,24,female
0,3,41,male
0,2,24,male
1,3,4,male
1,1,47,female
0,1,33,male
0,3,47,male
0,3,22,female
0,3,25,male
0,3,39,female
0,2,27,male
1,1,19,female
1,1,26,male
